name,type,address,latitude,longitude,phone,yakap_accredited,services,operating_hours,barangay,photos,specialized_services,is_24_7,capacity,live_metrics,busy_patterns, signals
"Bicol Medical Center","Hospital (Level III)","J. Miranda Avenue, Concepcion Pequeña, Naga City, Camarines Sur, 4400","13.62398°N","123.19889°E","INFORMATION:  (054) 472-6125 to 31;HEMS: 0927-357-9967","true","ardiovascular Surgery;Cardiac Intensive Care Unit;Cardiac Catheterization;Non-Invasive Tests;Cardiac Rehabilitation Unit;Narrowband UVB Phototherapy;Vision Screening;Eye Trauma Screening;Cataract Screening;Glaucoma;Minor Lid Removal;Lid Laceration Repair;Pterygium Excision;Incision and Curettage;Cataract Surgery;Corneal Perforating Injury Repair;Enucleation and Evisceration;Lay Fora on Healthy Ageing;Out-Patient Geriatric Consultation;Neonatal Center;Newborn Hearing Screening (Otoacoustic Emission);Auditory Brainstem Response (ABR);Auditory Steady State Response (ASSR);Pure Tone Audiometry;Speech Test;Tympanometry;Medical Consultation;Physical Therapy;Occupational Therapy;Poison Control Center;Drug Testing Laboratory;Radiation Oncology;Medical Social Service;Pharmacy;Kidney Transplant;Hemodialysis;Peritoneal Dialysis;End-Stage Renal Disease;Pain Clinic;Ambulatory Surgery;None Operating Room Anesthesia;Elective and Emergency Surgery;Dental Services;Family and Community Medicine;Internal Medicine;Obstetrics;Gynecology;Orthopedics;Otorhinolaryngology-HNS;Pediatrics;Psychiatry;General Surgery;Clinical Pharmacy Services;Pathology;Laboratory Servicess;Blood Bank;Transfusion Services;Radiology;Nursing Services","Mon-Sun: 24 Hours","Barangay Concepcion Pequeña","link here","Cardiology;Dermatology;Eye Care;Geriatric;Neonatal;Newborn Hearing Screening Reference;Physical and Rehabilitation Medicine;Poison Control;Drug Testing Laboratory;Oncology;Renal Care;Transplantation","true","1000 Bed Capacity",,,
"Naga City General Hospital","Hospital (Level I)"," Leon SA Aureus St., Balatas, Naga City, Camarines Sur, 44000","13.6218°N","123.1948°E","to be updated","true","Medical Records Services; Orthopedics; Tracheostomy;Foreign Body Removal;NGT Insertion;Catheter;Minor Wounds Dressing;Nebulization;Radiology;UTZ Procedures;2D Echo Procedures;X-Ray Procedures;Clinical Laboratory;Blood Chemistry;Hematology;Immunology;Serology;Clinical Microscopy;Bacteriology;Drug Test;Blood Station;General Medical Consultation;Treatment of Minor Medical Cases and Emergencies;Medical Examinations;Neonata Services;Pharmacy;General Surgery;Maternity Services","Mon-Sun: 24 Hours","Barangay Balatas","link","Animal Bite Treatment; Neonatal Services; Newborn Hearing Screening;Radiology","true","95 Bed Capacity",,,
"Abella Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Stephanie Mae C. Magistrado: 09619950058;BNS Raquel O. Benosa: 09982793261;BSPO Amelia Reyes: 09811897164;BSPO Mary Anne D. Navarro: 09126091244","to be verified","Daily Consultation; Family Planning; Center-Based Feeding; NTP; Immunization; Prenatal; Counseling; Post-Partum; Home Visitation","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Abella","link here","Adolescent Health Services;Mental Health Consultation;Women's Health Services;VIA;Breast Cancer Screening;Medical Check Up;Dental Check Up","false","to be added",,,
"Bagumbayan Norte Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Sarah Kay S. Cano: 09637589088;BHW Pres. Teresa R. Bachiller: 09306742637;BNS Merlinda D. Camba: 09936510036;BSPO Gina F. Avellano: 09517468427;K/H Mary Mae A. Calalo: 09619722373","to be verified","Family Planning;Daily Consultation;Non Communicable Disease Risk Assessment;NTP Dispensing of Medicine;Immunization;Prenatal","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Bagumbayan Norte","link here","PSI Insertion and Removal;Dental Check Up","false","to be added",,,
"Bagumbayan Sur Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Gemma R. Paglinawan: 09168239471;BHW Pres Eden P. Adupe: 09207352604;BNS Gemma L. Adupe: 09073626175;BSPO Rosemarie P. Viñas: 09510167317","to be verified","Daily Consultation;Family Planning;NTP;YAKAP Profiling;Risk Assessment of Non Communicable Diseases;4P's Beneficiary Weight Monitoring;Adolescent Counseling;Progestin Sub-Dermal Implant Insertion;Micronutrient Supplementation;NTP Dispensing of Medicines;BP and Weight Monitoring;Prenatal;Immunization","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Bagumbayan Sur","link here","Progestin Sub-Dermal Insertion and Removal;Mobile Blood Donation;Operation Tuli;Basic Oral Health Care;School Based Immunization;School Based Deworming;Community Based Deworming;Human Papilloma Virus Immunization","false","to be added",,,
"Balatas Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Mariel San Agustin: 09508682736; DOH-HRH Luis Anthony Contreras RN: 09173148740;BNS Melba Tena: 09381865252;BSPO Nova A. Atos: 09505783938","to be verified","Daily Consultation;Family Planning;NTP;Prenatal;Counseling;Immunization;Post Partum and Home Visitation;Non-Communicable Disease Health Services and Risk Assessment","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Balatas","link here","Adolescent Health Services;Dental Check Up","false","to be added",,,
"Calauag Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Rowena F. Reondanga: 09101537273;DOH-HRH Zarina V. Ardeza: 09165522912;BHW Pres Zabeth Sto. Domingo: 09123321668;BSPO Alma Plandes: 09121485435;BSPO Joana Carmela Clemente: 09932297680;BSPO Elizabeth Peñaflor: 09704923449","to be verified","Adolescent Health Program Services;Prenatal Services;Immunization;NTP","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Calauag","link here","VIA Screening;Oral Health and Dengue Program;SBD;Blood Donation;SIA;SBI;Operation Tuli;Dog Vaccination;Flu Faccination","false","to be added",,,
"Cararayan Barangay Health Station","Health Center","to be filled","to be filled","to be filled","Hon. Rodrigo Agravante Jr.: 09071294068;BHS MW Janet Roslene Beloro: 09616073195","to be verified","Family Planning Services;Prenatal;Immunization;NTP;TB PT","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Cararayan","link here","Adolescent Counseling;PSI Insertion;4P's Nutritional Monitoring","false","to be added",,,
"Carolina Barangay Health Station","Health Center","to be filled","to be filled","to be filled","09463604591;09489021470","to be verified","Daily Consultation;Family Planning;Non-Communicable Disease Health Services;HIV Screening and Counseling;Immunization;NTP;Post-Partum;Home Visitation","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Carolina","link here","Teenage Pregnancy and Adolescent Counseling;Women's Day VIA and Breast Exam;Mental Health Counseling","false","to be added",,,
"Concepcion Grande Barangay Health Station","Health Center","to be filled","to be filled","to be filled","BHS MW Rosa M. Paa: 09926460324;DOH-HRH Angelica Relos: 09810100550;BNS Cecilia O. San Pascual: 09602253086;BSPO Isabel B. Baldemoro: 09505783938","to be verified","Daily Consultation;Family Planning;Center-based Feeding;NTP;Immunization;Prenatal;Post-Partum;Home Visitation;Counseling","Mon-Fri: 8:00 AM - 5:00 PM","Barangay Concepcion Grande","link here","Adolescent Health Services;Mental Health Consultation;VIA;Breast Cancer Screening;Medical Check Up;Dental Check Up","false","to be added",,,
